Name,Location,Filename,Heading for main subject,Title,Description,Related organization/service branch,Related organization/service branch URI,Topics,Topics URI,Genre/format,URI (from Location),Latitude (from Location),Longitude (from Location),Women,Gold Star,Influenza,Reference URL,CONTENTdm number
Louis Eddy Davis,Ellington Field (Tex.),wwi_service_records_b1_f148,"Davis, Louis Eddy",Louis Eddy Davis file,"File documenting the participation of Louis Eddy Davis in World War I. Davis entered the service in May 1917 and was first stationed at Fort Sheridan, Illinois. He was transferred to the Aviation Corps at Ellington Field in Houston, Texas. Davis died in an airplane accident on May 10, 1918, at Ellington Field. File includes a photo, letters, newspaper clippings, ephemera from his funeral, and a card with a Davis' name with a gold star (used to denote the files of individuals who died in the line of duty).",United States. Army; United States. Army. Air Service;,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n86071803,"Davis, Louis Eddy; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/7267448/,29.60618,-95.1611,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/1840,1840
Howard Henry Hardy,Camp Albert L. Mills (N.Y.),wwi_service_records_b2_f256,"Hardy, Howard Henry",Howard Henry Hardy file,"File documenting the participation of Howard Henry Hardy in World War I. Hardy enlisted June 24, 1918. He served in Company G, 124th Infantry, 31st Division at Camp Wheeler, Georgia, and Camp Mills, New York. He died from pneumonia on October 20, 1918 at Camp Mills, while waiting to be sent overseas. File includes note card, photograph of Hardy in uniform, letters, and a card with Hardy's name and a gold star (used to denote the files of individuals who died in the line of duty).","United States. Army. Infantry Regiment, 124th",https://id.loc.gov/authorities/names/n92045248,"Hardy, Howard Henry; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/5111182/,40.72816,-73.611,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/2938,2938
Earl Ralph Hart,Camp Hancock (Ga.),wwi_service_records_b2_f265,"Hart, Earl Ralph",Earl Ralph Hart file,"File documenting the participation of Earl Ralph Hart in World War I. Hart enlisted on December 26, 1917, and was stationed at Camp Hancock, Georgia, in the 3rd Motor Mechanic Corps. He died on February 16, 1918, from pneumonia. File includes a photo, letters, newspaper clippings, and a gold star card.","United States. Army; United States. Army. Motor Mechanics, 3rd",https://id.loc.gov/authorities/names/n79063202,"Hart, Earl Ralph; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,photographs; letters (correspondence); newspaper clippings; cards (information artifacts),https://www.geonames.org/4185972/,33.46986,-82.0526,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/3437,3437
William Roy Hinthorn,"Jefferson Barracks (Saint Louis, Mo.)",wwi_service_records_b2_f285,"Hinthorn, William Roy",William Roy Hinthorn file,"File documenting the participation of William Roy Hinthorn in World War I. Hinthorn enlisted on December 12, 1917, and served with the Quartermaster's Corps at Jefferson Barracks. He died on January 19, 1918, from pneumonia. File includes a letter, newspaper clippings, and a card with Hinthorne's name with a gold star (used to denote the files of individuals who died in the line of duty).",United States. War Dept. Quartermaster Corps;,https://id.loc.gov/authorities/names/no2008014894,"Hinthorn, William Roy; World War, 1914-1918; University High School (Normal, Ill.)--Students; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; http://id.loc.gov/authorities/names/n2008164374 https://id.loc.gov/authorities/names/n93011898,letters (correspondence); newspaper clippings; cards (information artifacts);,https://www.geonames.org/4392382/,38.50283,-90.2804,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/3640,3640
Robert Benjamin Huffman,Meuse (France),wwi_service_records_b2_f310,"Huffman, Robert Benjamin",Robert Benjamin Huffman file,"File documenting the participation of Robert Benjamin Huffman in World War I. Huffman enlisted on December 10, 1917, and was first stationed at Fort Logan, Colorado. On January 19, 1918, he transferred to Camp Stanley, Texas, to join the 20th Field Artillery. He was later transferred to Camp MacArthur, Texas, and joined the Signal Corps. He was sent to France on May 27, 1918, and was killed in action on October 1, 1918, during the Meuse-Argonne Offensive. File includes letters about his service, a postcard of a picture of Huffman, newspaper clippings, and a card with Huffman's name with a gold star (used to denote the files of individuals who died in the line of duty).","United States. Army; United States. Army. Field Artillery Regiment, 20th; United States. Army. Signal Corps",https://id.loc.gov/authorities/names/n79063202; http://id.loc.gov/authorities/names/n79099281,"Huffman, Robert Benjamin; Argonne, Battle of the, France, 1918; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85007115; https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2994106/,48.97176,5.36371,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/3885,3885
Allington Joyce Jolly,New York (N.Y.),wwi_service_records_b2_f334,"Jolly, Allington Joyce",Allington Joyce Jolly file,"File documenting the participation of Allington Joyce Jolly in World War I. Jolly enlisted on May 19, 1916, and was first stationed at Fort Bliss, Texas, with the 103rd Coast Artillery Corps. He transferred to the 20th Infantry on October 10, 1916, and to the 16th Infantry on May 20, 1917. He was sent overseas on May 26, 1917, and served with the Headquarters Troops. On November 27, 1917, he joined the Air Service Signal Corps and attended the 2nd Aviation Instruction Center in Tours, France. He returned to the States on March 12, 1919, and was discharged on March 27, 1919. Jolly applied for recommission the same day. While waiting for assignment, he worked for a private aircraft company in New York as a test pilot. The wings of the plane he was testing collapsed and Jolly died on April 27, 1919. File includes a survey, letters, newspaper clippings, and a gold star (used to denote the files of individuals who died in the line of duty). Descriptions supplemented by information from Fold3.","United States. Army; United States. Army. Coast Artillery Regiment, 103rd; United States. Army. Infantry Regiment, 20th; United States. Army. Infantry Regiment, 16th; United States. Army. Headquarters Company; United States. Army. Air Service; United States. Army. Air Service. Signal Corps",https://id.loc.gov/authorities/names/n79063202; http://id.loc.gov/authorities/names/n90708755; https://id.loc.gov/authorities/names/n86071803,"Jolly, Allington Joyce; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires; letters (correspondence); newspaper clippings; cards (information artifacts);,https://www.geonames.org/5128581/,40.71427,-74.006,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/4366,4366
Rolf Leo McManus,Manchester (England),wwi_service_records_b3_f411,"McManus, Rolf Leo",Rolf Leo McManus file,"File includes a letter from the ISNU Alumni Association about the death of Rolf Leo McManus while serving overseas in World War I. McManus was sent to England on October 8, 1918, with the 113th Sanitary Train and became ill with influenza during the trip over. He was immediately hospitalized in Manchester, England, and passed away on October 20, 1918. McManus's remains returned to the states on September 18, 1920. File includes a card with McManus's name with a gold star (used to denote the files of individuals who died in the line of duty). Description supplemented with information from Fold3.","United States. Army; United States. Army. Sanitary Train, 113th",https://id.loc.gov/authorities/names/n79063202,"McManus, Rolf Leo; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,cards (information artifacts);,https://www.geonames.org/2643123/,53.48095,-2.23743,,TRUE,TRUE,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/5158,5158
Arthur Wilhelm Niedermeyer,Fort Sam Houston (Tex.),wwi_service_records_b3_f457,"Niedermeyer, Arthur Wilhelm",Arthur Wilhelm Niedermeyer file,"File documenting the participation of Arthur Wilhelm Niedermeyer in World War I. Niedermeyer enlisted on December 15, 1917, and joined the aviation corps at Fort Sam Houston in Texas. He was hospitalized for pneumonia for a week before passing on January 22, 1918. File includes a photo, envelope, letter, newspaper clipping, and a card with Neidermeyer's name with a gold star (used to denote the files of individuals who died in the line of duty).",United States. Army; United States. Army. Air Service,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n86071803,"Niedermeyer, Arthur Wilhelm; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,photographs; envelopes; letters (correspondence); newspaper clippings; cards (information artifacts);,https://www.geonames.org/11055091/,29.48313,-98.4253,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/5776,5776
Maurice James Peters,Souther Field (Ga.),wwi_service_records_b3_f484,"Peters, Maurice James",Maurice James Peters file,"File documenting the participation of Maurice James Peters in World War I. Peters enlisted in the Medical Corps on December 28, 1917. He was first stationed at Camp Greenleaf, Georgia. On April 1, 1918, he was transferred to Hampton, Virginia, and on April 30, 1918, he was sent to Souther Aviation Field in Georgia. Peters died on May 20, 1919, from a swimming accident. File includes a photo, letter, newspaper clipping, and a card with Peter's name with a gold star (used to denote the files of individuals who died in the line of duty).",United States. Army; United States. Army. Medical Corps,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n85185770,"Peters, Maurice James; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,,32.11501,-84.1859,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/6113,6113
Doy William Skinner,Verdun (France),wwi_service_records_b3_f564,"Skinner, Doy William",Doy William Skinner file,"File documenting the participation of Doy William Skinner in World War I. Skinner enlisted on July 30, 1917, and was stationed in Pontiac, Illinois, with the 3rd Illinois Infantry, which later became the 129th Infantry. He transferred to Camp Logan, Texas on October 10, 1917. He was sent overseas on May 9, 1918, and participated in the Battle of Villiers-Bretonneux, on the Albert Front, the Meuse-Argonne Offensive, and at Dead Man's Hill in the Battle of Verdun. At Verdun, he was hit in the heart by shrapnel and died on October 17, 1918. His body was returned to the States on August 1, 1921. File includes a survey, photo, letters, newspaper clippings, and a card with Skinner's name with a gold star (used to denote the files of individuals who died in the line of duty). Description supplemented by information from Fold3.","United States. Army; United States. Army. Illinois Infantry Regiment, 3rd; United States. Army. Infantry Regiment, 129th",https://id.loc.gov/authorities/names/n79063202; http://id.loc.gov/authorities/names/n2011072798,"Skinner, Doy William; Villers-Bretonneux, 2nd battle of the, France, 1918; Argonne, Battle of the, France, 1918; Verdun, Battle of, Verdun, France, 1916; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85007115; http://id.loc.gov/authorities/subjects/sh85142812; http://id.loc.gov/authorities/subjects/sh85148236; http://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2969958/,49.15964,5.3829,,TRUE,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/7112,7112
