Name,Location,Filename,Heading for main subject,Title,Description,Related organization/service branch,Related organization/service branch URI,Topics,Topics URI,Genre/format,URI (from Location),Latitude (from Location),Longitude (from Location),Women,Gold Star,Influenza,Reference URL,CONTENTdm number
Ada Adcock,Camp Cody (N.M.),wwi_service_records_b1_f003,"Adcock, Ada",Ada Adcock file,"File documenting the participation of Ada Adcock in World War I. Adcock enlisted in November 1917, and was a nurse in the Army Nurse Corps. She served served with Base Hospital Unit #51 in Toul, France. File includes war service record card, photo, and news clippings.",United States. Army Nurse Corps; United States. Army. Base Hospital No. 51,https://id.loc.gov/authorities/names/n50071170,"Adcock, Ada; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires; index cards; photographs; newspaper clippings,https://www.geonames.org/5459997/,32.275,-107.808,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/144,144
Ada Adcock,Toul (France),wwi_service_records_b1_f003,"Adcock, Ada",Ada Adcock file,"File documenting the participation of Ada Adcock in World War I. Adcock enlisted in November 1917, and was a nurse in the Army Nurse Corps. She served served with Base Hospital Unit #51 in Toul, France. File includes war service record card, photo, and news clippings.",United States. Army Nurse Corps; United States. Army. Base Hospital No. 51,https://id.loc.gov/authorities/names/n50071170,"Adcock, Ada; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2972350/,48.68075,5.89115,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/144,144
Ada Adcock,Brest (France),wwi_service_records_b1_f003,"Adcock, Ada",Ada Adcock file,"File documenting the participation of Ada Adcock in World War I. Adcock enlisted in November 1917, and was a nurse in the Army Nurse Corps. She served served with Base Hospital Unit #51 in Toul, France. File includes war service record card, photo, and news clippings.",United States. Army Nurse Corps; United States. Army. Base Hospital No. 51,https://id.loc.gov/authorities/names/n50071170,"Adcock, Ada; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/3030300/,48.39029,-4.48628,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/144,144
Ellen C. Babbitt,Washington (D.C.),wwi_service_records_b1_f029,"Babbitt, Ellen C., 1872-",Ellen C. Babbitt file,"File documenting the participation of Ellen Babbitt in World War I. Babbitt entered the Red Cross in March 1918. She served in the Children's Bureau in Washington, D.C., Lyon, Marsaille, and Paris in France, and in England and Scotland, working on children's welfare education. File includes service record card, photograph of Babbitt, newspaper clipping, and two letters, including a personal letter from Babbitt to Ange Milner.",American National Red Cross; American National Red Cross. Children's Bureau,https://id.loc.gov/authorities/names/n79096723; https://id.loc.gov/authorities/names/n2013183271,"Babbitt, Ellen C., 1872-; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/names/no2013181695; https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,index cards; photographs; letters (correspondence); newspaper clippings,https://www.geonames.org/4140963/,38.89511,-77.0364,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/337,337
Ellen C. Babbitt,Lyon (France),wwi_service_records_b1_f029,"Babbitt, Ellen C., 1872-",Ellen C. Babbitt file,"File documenting the participation of Ellen Babbitt in World War I. Babbitt entered the Red Cross in March 1918. She served in the Children's Bureau in Washington, D.C., Lyon, Marsaille, and Paris in France, and in England and Scotland, working on children's welfare education. File includes service record card, photograph of Babbitt, newspaper clipping, and two letters, including a personal letter from Babbitt to Ange Milner.",American National Red Cross; American National Red Cross. Children's Bureau,https://id.loc.gov/authorities/names/n79096723; https://id.loc.gov/authorities/names/n2013183271,"Babbitt, Ellen C., 1872-; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/names/no2013181695; https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2996944/,45.74846,4.84671,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/337,337
Ellen C. Babbitt,Marseille (France),wwi_service_records_b1_f029,"Babbitt, Ellen C., 1872-",Ellen C. Babbitt file,"File documenting the participation of Ellen Babbitt in World War I. Babbitt entered the Red Cross in March 1918. She served in the Children's Bureau in Washington, D.C., Lyon, Marsaille, and Paris in France, and in England and Scotland, working on children's welfare education. File includes service record card, photograph of Babbitt, newspaper clipping, and two letters, including a personal letter from Babbitt to Ange Milner.",American National Red Cross; American National Red Cross. Children's Bureau,https://id.loc.gov/authorities/names/n79096723; https://id.loc.gov/authorities/names/n2013183271,"Babbitt, Ellen C., 1872-; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/names/no2013181695; https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2995469/,43.29695,5.38107,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/337,337
Ellen C. Babbitt,Paris (France),wwi_service_records_b1_f029,"Babbitt, Ellen C., 1872-",Ellen C. Babbitt file,"File documenting the participation of Ellen Babbitt in World War I. Babbitt entered the Red Cross in March 1918. She served in the Children's Bureau in Washington, D.C., Lyon, Marsaille, and Paris in France, and in England and Scotland, working on children's welfare education. File includes service record card, photograph of Babbitt, newspaper clipping, and two letters, including a personal letter from Babbitt to Ange Milner.",American National Red Cross; American National Red Cross. Children's Bureau,https://id.loc.gov/authorities/names/n79096723; https://id.loc.gov/authorities/names/n2013183271,"Babbitt, Ellen C., 1872-; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/names/no2013181695; https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2988507/,48.85341,2.3488,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/337,337
Ellen C. Babbitt,England,wwi_service_records_b1_f029,"Babbitt, Ellen C., 1872-",Ellen C. Babbitt file,"File documenting the participation of Ellen Babbitt in World War I. Babbitt entered the Red Cross in March 1918. She served in the Children's Bureau in Washington, D.C., Lyon, Marsaille, and Paris in France, and in England and Scotland, working on children's welfare education. File includes service record card, photograph of Babbitt, newspaper clipping, and two letters, including a personal letter from Babbitt to Ange Milner.",American National Red Cross; American National Red Cross. Children's Bureau,https://id.loc.gov/authorities/names/n79096723; https://id.loc.gov/authorities/names/n2013183271,"Babbitt, Ellen C., 1872-; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/names/no2013181695; https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/6269131/,52.16045,-0.70312,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/337,337
Ellen C. Babbitt,Scotland,wwi_service_records_b1_f029,"Babbitt, Ellen C., 1872-",Ellen C. Babbitt file,"File documenting the participation of Ellen Babbitt in World War I. Babbitt entered the Red Cross in March 1918. She served in the Children's Bureau in Washington, D.C., Lyon, Marsaille, and Paris in France, and in England and Scotland, working on children's welfare education. File includes service record card, photograph of Babbitt, newspaper clipping, and two letters, including a personal letter from Babbitt to Ange Milner.",American National Red Cross; American National Red Cross. Children's Bureau,https://id.loc.gov/authorities/names/n79096723; https://id.loc.gov/authorities/names/n2013183271,"Babbitt, Ellen C., 1872-; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/names/no2013181695; https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2638360/,56,-4,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/337,337
Hazel Beatrix Boman,Camp Grant (Ill.),wwi_service_records_b1_f054,"Boman, Hazel Beatrix",Hazel Beatrix Boman file,"File documenting the participation of Hazel Beatrix Boman in World War I. She served in the Army Nurse Corps first at Camp Grant, Illinois, and then at the Children's Memorial Hospital in Chicago, Illinois. File includes address card, Boman's service record card, and RSVP card.",United States. Army Nurse Corps;,https://id.loc.gov/authorities/names/n50071170,"Boman, Hazel Beatrix; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,cards (information artifacts); reply cards;,https://www.geonames.org/4886432/,42.20836,-89.0823,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/466,466
