Battle,Date,Name,Battle URI,Lattitude,Longitude,Filename,Heading for main subject,Description,Related organization/service branch,Reference URL,Start Date,End Date
2nd Battle of the Marne,15-18 July 1918,Carl Weems Smith,http://id.loc.gov/authorities/subjects/sh85081392,48.99116,4.25966,wwi_service_records_b3_f569,"Smith, Carl Weems","File documenting the participation of Carl Weems Smith in World War I. Smith served with the 6th Marine Corps. He was a drill sergeant at the Marine Corps Recruit Depot on Parris Island, South Carolina, until he was sent overseas in July 1918. He participated in battles at the Toulon Sector, the Aisne Defensive, the Battle of Chateau Thierry, the Aisne Marne Offensive, at the Marbache Sector, the Battle of St. Mihiel, and at the Champagne Sector. He was wounded on October 8, 1918, while at the Champagne Sector. Smith returned to the States on July 25, 1919. File includes a survey, letter, newspaper clippings, and an RSVP card.","United States. Marine Corps; United States. Marine Corps. Marine Regiment, 6th; Parris Island (S.C. : Recruit depot)",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/7167,1918,1918
2nd Battle of the Marne,15-18 July 1918,DeWitt Talmage Petty,http://id.loc.gov/authorities/subjects/sh85081392,48.99116,4.25966,wwi_service_records_b3_f486,"Petty, DeWitt Talmage","File documenting the participation of DeWitt Talmage Petty in World War I. Petty enlisted on August 27, 1917. Petty was stationed at Fort Sheridan, Illinois, before he was sent overseas on January 8, 1918, with the 38th Infantry. He participated in the battle of Chateau-Thierry and the Second Battle of the Marne. He was hospitalized in Paris for a gunshot wound from July 16, 1918, to October 30, 1918. In March 1919, he began teaching at the American Expeditionary University in Beaune, France, until his discharge on July 29, 1919. File includes a survey, letters, newspaper clippings, and his wedding announcement.","United States. Army; United States. Army. Infantry Regiment, 38th (1917-1957); American Expeditionary Forces University (Beaune, France)",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/6138,1918,1918
2nd Battle of the Marne,15-18 July 1918,George W. Piper,http://id.loc.gov/authorities/subjects/sh85081392,48.99116,4.25966,wwi_service_records_b3_f492,"Piper, George W.","File documenting the participation of George W. Piper in World war I. Piper enlisted in July 1917 and served overseas with the 51st Field Artillery. He participated in the Second Battle of the Marne, the Battle of St. Mihiel, and the Meuse-Argonne Offensive. After the armistice was signed, Piper was stationed in Germany. File includes a survey.","United States. Army; United States. Army. Field Artillery Regiment, 51st",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/6141,1918,1918
2nd Battle of the Marne,15-18 July 1918,James Kenneth Coppenbarger,http://id.loc.gov/authorities/subjects/sh85081392,48.99116,4.25966,wwi_service_records_b1_f130,"Coppenbarger, James Kenneth","File documenting the participation of James Kenneth Coppenbarger in World War I. Coppenbarger enlisted on April 16, 1917, and served in the 18th Infantry Regiment. He was sent overseas on June 14, 1917, and participated in the Argonne-Meuse Offensive, the Battle of Chateau-Thierry, the Second Battle of Marne, and the Battle of St. Mihiel. Coppenbarger returned to the States on September 4, 1919, and was discharged within the month. File includes a survey, newspaper clippings, and an RSVP card.","United States. Army; United States. Army. Infantry Regiment, 18th",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/1777,1918,1918
2nd Battle of the Marne,15-18 July 1918,Otto Hugo Guenther,http://id.loc.gov/authorities/subjects/sh85081392,48.99116,4.25966,wwi_service_records_b2_f243,"Guenther, Otto Hugo","File documenting the participation of Otto Hugo Guenther in World War I. Geunther enlisted on December 7, 1917, and was first stationed at Newport News, Virginia, in the 4th regiment of the Infantry in the Medical Department. He arrived in France on April 15, 1918, and served in the 2nd Battle of Marne, Battle of Ch?óteau-Thierry, and the Meuse-Argonne Offensive. He was injured during the Battle of Ch?óteau-Thierry when he removed his gas mask too soon after a gas shells attack, and later he got shrapnel in his knee at the Meuse-Argonne Offensive. He was sent back to the states to General Hospital #28 at Fort Sheridan, Illinois, on December 16, 1918, to be treated for his injuries. Geunther was discharged on September 19, 1919. File includes a survey, a photo, letters, a postcard, and newspaper clippings.","United States. Army; United States. Army. Infantry Regiment, 4th; United States. Army. Medical Department;",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/3145,1918,1918
2nd Battle of the Marne,15-18 July 1918,William Asberry Zook,http://id.loc.gov/authorities/subjects/sh85081392,48.99116,4.25966,wwi_service_records_b4_f685,"Zook, William Asberry","File documenting the participation of William Asberry Zook in World War I. Zook enlisted on May 7, 1917, and was first stationed at the Marine Corps Recruit Depot at Parris Island, South Carolina with the 23rd Company of the 6th Marines. He transferred to Quantico, Virginia, on July 30, 1917, to join the 82nd Company of the 6th Marines. He was sent overseas on October 24, 1917. He was first stationed at Bordeaux, France, then transferred to an unknown town in France on December 24, 1917, then to Nanteuil-sur-Marne, France, on July 14, 1918, and later to Langres, France, on August 16, 1918. He participated in engagements at the Verdun Sector, the Aisne-Marne Defensive, the Battle of Chateau-Thierry, Aisne-Marne Offensive, Marbache Sector, the Battle of St. Mihiel, and the Meuse-Argonne Offensive. After the armistice was signed, he was stationed in Leutesdorf, Germany. Zook returned to the States on August 9, 1919, and was discharged on August 15, 1919.","United States. Marine Corps; Parris Island (S.C. : Recruit depot); United States. Marine Corps. Marine Regiment, 6th",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/8627,1918,1918
2nd Battle of the Piave River,15-24 June 1918,Arthur Coleman Hall,https://id.loc.gov/authorities/subjects/sh85101907,45.830556,12.209444,wwi_service_records_b2_f250,"Hall, Arthur Coleman","File documenting the participation of Arthur Coleman Hall in World War I. Hall served with the YMCA from August 1918 to January 18, 1919. He was an athletic and recreational director with the Third Italian Army, headquartered at Mogliano, Italy, and later Trieste, Italy. Hall was with the Italian troops when they were engaged in the 2nd Battle of the Piave, in October 1918. File includes survey, photograph of Hall in uniform, and letter.","YMCA of the USA; Italy. Esercito. Armata, terza",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/2388,1918,1918
2nd Battle of the Somme,21 August-3 September 1918,John Albert Hubbell,http://id.loc.gov/authorities/subjects/sh85124801,50.18333,1.65,wwi_service_records_b2_f303,"Hubbell, John Albert","File documenting the participation of John Albert Hubbell in World War I. Hubbell enlisted on March 28, 1917, and was first stationed in Decatur, Illinois, with the 5th Illinois Infantry. He transferred to Houston, Texas, on October 10, 1917, to join the 124th Machine Gun Battalion. On March 1, 1918, he was sent to Camp Logan, Illinois, and then to France on May 6, 1918. He participated in the Second Battle of Albert and in the Meuse-Argonne Offensive. Hubbell returned to the States on October 15, 1918, and was discharged on May 17, 1919. File includes a survey, letter, and newspaper clippings.","United States. Army; United States. Army. Illinois Infantry Regiment, 5th; United States. Army. Machine Gun Battalion, 124th",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/3727,1918,1918
2nd Battle of the Somme,21 August-3 September 1918,Gay Andrew Kinter,http://id.loc.gov/authorities/subjects/sh85124801,50.18333,1.65,wwi_service_records_b2_f355,"Kinter, Gay Andrew","File documenting the participation of Gay Andrew Kinter in World War I. Kinter enlisted on September 20, 1917, and first served at Camp Dodge, Iowa, with the 349th Infantry. On November 19, 1918, he transferred to Camp Pike, Arkansas, to join the 346th Infantry. He transferred to the 38th Infantry on April 21, 1918, at Camp Greene, North Carolina. He was sent overseas on July 25, 1918, and participated in the offensives at Somme, St. Mihiel, Vesle, and Meuse-Argonne. After the war, he was stationed in Muden and Trier in Germany, and later in Esch Luxemburg. On June 9, 1919, he was sent to Calais, France. Kinter returned to the States on August 1, 1918, and was discharged on August 8, 1919. File includes a survey.","United States. Army; United States. Army. Infantry Regiment, 349th; United States. Army. Infantry Regiment, 346th; United States. Army. Infantry Regiment, 38th (1917-1957)",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/4397,1918-04-24,1918-04-27
2nd Battle of the Somme,21 August-3 September 1918,Russel Leon Lowe,http://id.loc.gov/authorities/subjects/sh85124801,50.18333,1.65,wwi_service_records_b3_f392,"Lowe, Russel Leon","File documenting the participation of Russel Leon Lowe in World War I. Lowe enlisted on July 19, 1917, and first served with the 130th Infantry in Newton, Illinois. He transferred to Camp Logan, Texas, on November 10, 1917, and became a bugler for the 130th Infantry Band. He left for France in April 1918 and was stationed in Albert, France. He served in the Battle of Hamel, Somme Defensive, and the Meuse-Argonne Battle. He was hospitalized for influenza in October 1918 at Glorieux, near Verdun, France. After the armistice was signed, he was stationed in Oberbillig, Germany, and Betterdorf, Luxembourg. Lowe returned to the States on May 22, 1919, and was discharged on May 31, 1919. File includes a survey and letters.","United States. Army; United States. Army. Infantry Regiment, 130th (1917-1959)",http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/4575,1918-05,1918-06
