Name,Location,Filename,Heading for main subject,Title,Description,Related organization/service branch,Related organization/service branch URI,Topics,Topics URI,Genre/format,URI (from Location),Latitude (from Location),Longitude (from Location),Women,Gold Star,Influenza,Reference URL,CONTENTdm number
Charles Leslie Adams,Fort Preble (Me.),wwi_service_records_b1_f001,"Adams, Charles Leslie",Charles Leslie Adams file,"File documenting the participation of Charles Leslie Adams in World War I. Adams enlisted on April 1st, 1918, and was a Sergeant in the Coast Artillery Corps stationed at Fort Preble, Maine. File includes survey and letter.",United States. Army. Coast Artillery Corps,https://id.loc.gov/authorities/names/n97012865,"Adams, Charles Leslie; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires; envelopes; letters (correspondence),https://www.geonames.org/12514284/,43.64916,-70.2259,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/133,133
Clarence Walter Adams,Camp Cody (N.M.),wwi_service_records_b1_f002,"Adams, Clarence Walter",Clarence Walter Adams file,"File documenting the participation of Clarence Walter Adams in World War I. Adams was commissioned on October 21, 1918, and was 1st Lieutenant at the U.S. Army Base Hospital at Camp Cody, New Mexico. File includes survey and address card.","United States. Army; United States. Army. United States. Army. Base Hospital (Camp Cody, N.M)",https://id.loc.gov/authorities/names/n79063202,"Adams, Clarence Walter; United States. Army; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires; index cards,https://www.geonames.org/5459997/,32.275,-107.808,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/30,30
Ada Adcock,Camp Cody (N.M.),wwi_service_records_b1_f003,"Adcock, Ada",Ada Adcock file,"File documenting the participation of Ada Adcock in World War I. Adcock enlisted in November 1917, and was a nurse in the Army Nurse Corps. She served served with Base Hospital Unit #51 in Toul, France. File includes war service record card, photo, and news clippings.",United States. Army Nurse Corps; United States. Army. Base Hospital No. 51,https://id.loc.gov/authorities/names/n50071170,"Adcock, Ada; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires; index cards; photographs; newspaper clippings,https://www.geonames.org/5459997/,32.275,-107.808,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/144,144
Ada Adcock,Toul (France),wwi_service_records_b1_f003,"Adcock, Ada",Ada Adcock file,"File documenting the participation of Ada Adcock in World War I. Adcock enlisted in November 1917, and was a nurse in the Army Nurse Corps. She served served with Base Hospital Unit #51 in Toul, France. File includes war service record card, photo, and news clippings.",United States. Army Nurse Corps; United States. Army. Base Hospital No. 51,https://id.loc.gov/authorities/names/n50071170,"Adcock, Ada; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2972350/,48.68075,5.89115,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/144,144
Ada Adcock,Brest (France),wwi_service_records_b1_f003,"Adcock, Ada",Ada Adcock file,"File documenting the participation of Ada Adcock in World War I. Adcock enlisted in November 1917, and was a nurse in the Army Nurse Corps. She served served with Base Hospital Unit #51 in Toul, France. File includes war service record card, photo, and news clippings.",United States. Army Nurse Corps; United States. Army. Base Hospital No. 51,https://id.loc.gov/authorities/names/n50071170,"Adcock, Ada; World War, 1914-1918; Illinois State Normal University--Students",http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/3030300/,48.39029,-4.48628,TRUE,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/144,144
George William Adlington,Camp Wheeler (Ga.),wwi_service_records_b1_f007,"Adlington, George William",George William Adlington file,"File documenting the participation of George William Adlington in World War I. Adlington enlisted in the Army on August 1, 1918 and was a Private in the 4th Infantry. He served in Camp Wheeler, Georgia and Teloche, France, and was a part of the Army of Occuptation on the Rhine. He was discharged August 1919.","United States. Army; United States. Army. Infantry Regiment, 4th",https://id.loc.gov/authorities/names/n79063202,"Adlington, George William; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires,,32.812,-83.542,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/33,33
George William Adlington,Teloche (France),wwi_service_records_b1_f007,"Adlington, George William",George William Adlington file,"File documenting the participation of George William Adlington in World War I. Adlington enlisted in the Army on August 1, 1918 and was a Private in the 4th Infantry. He served in Camp Wheeler, Georgia and Teloche, France, and was a part of the Army of Occuptation on the Rhine. He was discharged August 1919.","United States. Army; United States. Army. Infantry Regiment, 4th",https://id.loc.gov/authorities/names/n79063202,"Adlington, George William; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2973192/,47.888,0.27112,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/33,33
Emory Morgan Akeman,Camp Zachary Taylor (Ky.),wwi_service_records_b1_f004,"Akeman, Emory Morgan",Emory Morgan Akeman file,"File documenting the participation of Emory Morgan Akeman in World War I. Akeman enlisted in the Army on June 26, 1918, and was stationed at Camp Taylor, Kentucky. He was discharged on November 19, 1919.",United States. Army,https://id.loc.gov/authorities/names/n79063202,"Akeman, Emory Morgan; United States. Army; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/names/n79063202; http://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires,https://www.geonames.org/8504327/,38.20082,-85.7094,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/147,147
Erwin Albee,Saint-Maixent-l'Ecole (France),wwi_service_records_b1_f005,"Albee, Erwin",Erwin Albee file,"File documenting the participation of Edwin Albee in World War I. Albee enlisted in the Air Service in May 6, 1917, and was a Sergeant in the 30th Aero Squadron in Saint-Maixent, France. File includes questionnaire, student information form, photo of Albee in uniform, newspaper clippings, and wedding announcement.","United States. Army; United States. Army. Air Service; United States. Army. Air Service. Aero Squadron, 30th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n86071803,"Albee, Erwin; World War, 1914-1918; Illinois State Normal University--Students",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires; forms (documents); photographs; newspaper clippings; reply cards; wedding announcements,https://www.geonames.org/2978643,46.4131,-0.20839,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/67,67
Albert Alderson,Fort Riley (Kan.),wwi_service_records_b1_f006,"Alderson, Albert",Albert Alderson file,"File documenting the participation of Albert Alderson in World War I. Alderson enlisted in the Army on May 5th, 1917, and was first stationed in Fort Riley, Kansas. He served in the 338th Field Artillery (Camp Dodge, Iowa), the 352nd Infantry, and the 30th Infantry (Mayen, Germany). He was involved in the Meuse-Argonne Offensive. File includes address card, student information form, and letters.","United States. Army; United States. Army. Field Artillery Regiment, 338th; United States. Army. Infantry Regiment, 352nd; United States. Army. Infantry Regiment, 30th (1901-1957)",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n2003028932,"Alderson, Albert; World War, 1914-1918; Illinois State Normal University--Students; World War, 1914-1918--Campaigns--Meuse River Valley; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; https://id.loc.gov/authorities/subjects/sh2010007621; http://id.loc.gov/authorities/subjects/sh85007115,questionnaires; index cards; forms (documents); letters (correspondence),https://www.geonames.org/7267489/,39.05833,-96.8216,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/161,161
